,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
SimSiam-bbknn-0.2,0.4922,0.63,0.6178,0.5302,0.9936,0.8637,0.189,0.2336,0.7534,0.9994,0.6687839326641881,0.5705595392717838,0.6098492966287455
SimSiam-bbknn-0.6,0.5134,0.6759,0.5633,0.5475,0.9985,0.8136,0.129,0.14,0.8344,0.9995,0.3995024875621894,0.756447012484881,0.6136692025158044
SimSiam-bbknn-0.4,0.4835,0.6389,0.5402,0.5391,0.9979,0.8246,0.1394,0.1918,0.7814,0.9995,0.4406681555234135,0.5639595409726211,0.5146429867929381
SimSiam-bbknn-0.5,0.5141,0.6622,0.5742,0.5442,0.998,0.8187,0.1425,0.1752,0.818,0.9995,0.46967874336865495,0.7317369022592312,0.6269136387030008
SimSiam-bbknn-0.1,0.4986,0.5646,0.4782,0.5175,0.986,0.8866,0.2248,0.2624,0.7232,0.9992,0.7980099502487562,0.14988352196590177,0.4091340932790436
SimSiam-bbknn-0.3,0.4826,0.6569,0.641,0.5383,0.9962,0.8412,0.1628,0.2082,0.763,0.9995,0.5287032425495382,0.6851703829466116,0.6225835267877822
MoCo-bbknn-0.2,0.4994,0.6393,0.5339,0.5359,0.9919,0.8708,0.1646,0.1979,0.7614,0.9594,0.39434671100712493,0.4888762219623805,0.45106441758027827
MoCo-bbknn-0.6,0.5267,0.664,0.5514,0.5267,0.9944,0.862,0.182,0.1907,0.8183,0.9702,0.5508675673605292,0.627472930329146,0.5968307851416993
MoCo-bbknn-0.4,0.5212,0.6528,0.5205,0.5297,0.9947,0.8584,0.1751,0.1689,0.8133,0.9661,0.4615878124851623,0.5720936866162817,0.527891336963834
MoCo-bbknn-0.5,0.5237,0.6601,0.5398,0.5266,0.9946,0.8592,0.1788,0.1775,0.8223,0.9697,0.5196538048969501,0.6027890670474128,0.5695349621872277
MoCo-bbknn-0.1,0.4975,0.6283,0.5458,0.5411,0.9904,0.8726,0.1499,0.1811,0.7406,0.9689,0.35099191183204,0.4724927945601286,0.42389244146889316
MoCo-bbknn-0.3,0.5144,0.6482,0.5415,0.5357,0.9944,0.8645,0.1683,0.1858,0.7941,0.9651,0.4522107796872342,0.5872355186353233,0.5332256230560877
SimCLR-bbknn-0.2,0.5146,0.6574,0.5847,0.5097,0.9964,0.8769,0.1813,0.1991,0.7429,0.9994,0.6136157185436928,0.6115921248237766,0.612401562311743
SimCLR-bbknn-0.6,0.5677,0.6886,0.5883,0.4791,0.9975,0.8694,0.1959,0.1687,0.8286,0.9996,0.7290064532615517,0.7192579852579857,0.723157372459412
SimCLR-bbknn-0.4,0.5354,0.6629,0.5613,0.4877,0.9974,0.8747,0.1914,0.2037,0.771,0.9995,0.6872273369253964,0.5922723447136368,0.6302543415983406
SimCLR-bbknn-0.5,0.5448,0.6721,0.5542,0.482,0.9973,0.8753,0.1957,0.2038,0.8035,0.9995,0.7564648441353224,0.6022136858762939,0.6639141491799053
SimCLR-bbknn-0.1,0.5133,0.6407,0.5697,0.5218,0.9941,0.8843,0.1853,0.1866,0.7271,0.9994,0.59339831904701,0.5617540103421697,0.5744117338241058
SimCLR-bbknn-0.3,0.52,0.6679,0.6065,0.4948,0.997,0.8764,0.1856,0.2042,0.7504,0.9995,0.6435429454248374,0.6340326358354701,0.637836759671217
