,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
SimSiam-bbknn-0.2,0.4922,0.63,0.6178,0.5302,0.9936,0.8637,0.189,0.2336,0.7534,0.9994,0.6078,0.6528,0.6348
SimSiam-bbknn-0.6,0.5134,0.6759,0.5633,0.5475,0.9985,0.8136,0.129,0.14,0.8344,0.9995,0.5833,0.6597,0.6291
SimSiam-bbknn-0.4,0.4835,0.6389,0.5402,0.5391,0.9979,0.8246,0.1394,0.1918,0.7814,0.9995,0.5873,0.6399,0.6189
SimSiam-bbknn-0.5,0.5141,0.6622,0.5742,0.5442,0.998,0.8187,0.1425,0.1752,0.818,0.9995,0.5908,0.6586,0.6314
SimSiam-bbknn-0.1,0.4986,0.5646,0.4782,0.5175,0.986,0.8866,0.2248,0.2624,0.7232,0.9992,0.6193,0.609,0.6131
SimSiam-bbknn-0.3,0.4826,0.6569,0.641,0.5383,0.9962,0.8412,0.1628,0.2082,0.763,0.9995,0.5949,0.663,0.6358
MoCo-bbknn-0.2,0.4994,0.6393,0.5339,0.5359,0.9919,0.8708,0.1646,0.1979,0.7614,0.9594,0.5908,0.6401,0.6204
MoCo-bbknn-0.6,0.5267,0.664,0.5514,0.5267,0.9944,0.862,0.182,0.1907,0.8183,0.9702,0.6047,0.6527,0.6335
MoCo-bbknn-0.4,0.5212,0.6528,0.5205,0.5297,0.9947,0.8584,0.1751,0.1689,0.8133,0.9661,0.5963,0.6438,0.6248
MoCo-bbknn-0.5,0.5237,0.6601,0.5398,0.5266,0.9946,0.8592,0.1788,0.1775,0.8223,0.9697,0.6015,0.649,0.63
MoCo-bbknn-0.1,0.4975,0.6283,0.5458,0.5411,0.9904,0.8726,0.1499,0.1811,0.7406,0.9689,0.5826,0.6406,0.6174
MoCo-bbknn-0.3,0.5144,0.6482,0.5415,0.5357,0.9944,0.8645,0.1683,0.1858,0.7941,0.9651,0.5956,0.6468,0.6263
SimCLR-bbknn-0.2,0.5146,0.6574,0.5847,0.5097,0.9964,0.8769,0.1813,0.1991,0.7429,0.9994,0.5999,0.6526,0.6315
SimCLR-bbknn-0.6,0.5677,0.6886,0.5883,0.4791,0.9975,0.8694,0.1959,0.1687,0.8286,0.9996,0.6124,0.6642,0.6435
SimCLR-bbknn-0.4,0.5354,0.6629,0.5613,0.4877,0.9974,0.8747,0.1914,0.2037,0.771,0.9995,0.6081,0.6489,0.6326
SimCLR-bbknn-0.5,0.5448,0.6721,0.5542,0.482,0.9973,0.8753,0.1957,0.2038,0.8035,0.9995,0.6156,0.6501,0.6363
SimCLR-bbknn-0.1,0.5133,0.6407,0.5697,0.5218,0.9941,0.8843,0.1853,0.1866,0.7271,0.9994,0.5965,0.6479,0.6274
SimCLR-bbknn-0.3,0.52,0.6679,0.6065,0.4948,0.997,0.8764,0.1856,0.2042,0.7504,0.9995,0.6032,0.6572,0.6356
