,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
SimSiam-crossover-0.2,0.4673,0.4003,0.1721,0.4603,0.9687,0.6795,0.0116,0.0322,0.3049,0.9995,0.19984744469870322,0.0881032999798419,0.13280095786738644
SimSiam-crossover-0.1,0.4232,0.4329,0.2054,0.4491,0.964,0.7047,0.0343,0.0577,0.4127,0.9996,0.31655840186784323,0.03123352647009515,0.14536347662919438
SimSiam-crossover-0.4,0.521,0.5308,0.3898,0.4886,0.978,0.7224,0.0607,0.0566,0.5405,0.9994,0.39802808888454744,0.3999271998668529,0.3991675554739307
SimSiam-crossover-0.3,0.535,0.5238,0.3453,0.4978,0.9802,0.7399,0.0444,0.0651,0.5222,0.9996,0.4056684906672324,0.4208385635729983,0.41477053441069195
SimSiam-crossover-0.5,0.4819,0.4905,0.3253,0.4915,0.9696,0.7711,0.0486,0.055,0.5933,0.9994,0.4478368226175453,0.2730467771749799,0.342962795352006
MoCo-crossover-0.2,0.6287,0.7297,0.6318,0.5394,0.9979,0.8335,0.1915,0.1407,0.8868,0.9451,0.7760139602983385,0.9108313586110617,0.8569043992859724
MoCo-crossover-0.1,0.6213,0.7248,0.6781,0.5265,0.9955,0.8623,0.2235,0.1735,0.8812,0.9818,0.9341981423078378,0.8823295807840484,0.9030770053935642
MoCo-crossover-0.4,0.5648,0.6973,0.5393,0.5605,0.9976,0.7868,0.1703,0.1058,0.8713,0.8758,0.5514294008964846,0.8331498806809907,0.7204616887671883
MoCo-crossover-0.3,0.6372,0.7328,0.6193,0.5548,0.9982,0.7881,0.1702,0.1144,0.8856,0.8685,0.5582601671506332,0.9450128443984077,0.7903117734992979
MoCo-crossover-0.5,0.6258,0.7568,0.6851,0.559,0.9991,0.8707,0.113,0.1059,0.9196,0.9966,0.7772813914765221,0.9860697058088469,0.902554380075917
SimCLR-crossover-0.2,0.6219,0.723,0.6211,0.513,0.9985,0.8491,0.1592,0.1076,0.8576,0.9996,0.7871552280991864,0.8525801096254646,0.8264101570149534
SimCLR-crossover-0.1,0.6171,0.7162,0.6331,0.5026,0.9975,0.8713,0.1969,0.1315,0.8626,0.9996,0.8793062893511575,0.8245745246719192,0.8464672305436145
SimCLR-crossover-0.4,0.6245,0.7258,0.6289,0.5169,0.9986,0.8082,0.1388,0.0799,0.8527,0.9993,0.687744748997649,0.8671845095297843,0.7954086053169301
SimCLR-crossover-0.3,0.6051,0.7293,0.6309,0.5308,0.9986,0.8248,0.1275,0.0782,0.8591,0.9994,0.6926949557746008,0.8767497733054075,0.8031278462930849
SimCLR-crossover-0.5,0.6267,0.7451,0.6866,0.5381,0.9986,0.8898,0.1609,0.1054,0.8936,0.9993,0.8356077910187688,0.9405586583157145,0.8985783113969361
