,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
BarlowTwins-32,0.4407,0.4591,0.3543,0.4924,0.9693,0.8023,0.1389,0.1399,0.5787,0.9933,0.5602636125693452,0.3459209246917393,0.43165799984278164
BarlowTwins-16,0.4331,0.3707,0.1954,0.4581,0.9535,0.7827,0.123,0.1269,0.4514,0.9848,0.3956152395292759,0.13413533001241504,0.2387272938191594
BarlowTwins-128,0.4694,0.5205,0.4103,0.5075,0.9787,0.8268,0.1181,0.119,0.7191,0.9915,0.5958415742707169,0.4812873784435864,0.5271090567744385
BarlowTwins-64,0.444,0.5208,0.4165,0.5034,0.9766,0.8222,0.1114,0.1454,0.6132,0.992,0.5755563840954012,0.44374515383893504,0.49646964594152154
BYOL-32,0.5237,0.5167,0.4091,0.4758,0.9768,0.8361,0.1693,0.1601,0.7502,0.9932,0.7643280882194683,0.49296927905143734,0.6015128027186497
BYOL-16,0.5043,0.4357,0.2744,0.4639,0.9684,0.8124,0.1591,0.1536,0.6182,0.9961,0.6563297117990874,0.3344278162230439,0.4631885744534613
BYOL-128,0.5291,0.566,0.4486,0.5012,0.9868,0.847,0.1657,0.1934,0.8162,0.9962,0.8612550489095323,0.604908651990369,0.7074472107580343
BYOL-64,0.5314,0.5434,0.4259,0.4879,0.9803,0.8435,0.1604,0.1525,0.7874,0.9963,0.7837859851867666,0.548414444729586,0.6425630609124582
SimSiam-128-128,0.5484,0.6086,0.4752,0.5247,0.9877,0.8689,0.1512,0.1116,0.8377,0.9994,0.8041514275079947,0.6900461234765627,0.7356882450891356
SimSiam-16-12,0.4943,0.4194,0.3078,0.4729,0.9633,0.8304,0.111,0.1275,0.5991,0.9996,0.5987889297903239,0.32182599487149177,0.4326111688390246
SimSiam-128-32,0.5116,0.5121,0.4141,0.488,0.9805,0.8372,0.1353,0.1227,0.7709,0.9997,0.7032597011066961,0.5070361166157072,0.5855255504121029
SimSiam-128-64,0.5541,0.582,0.4538,0.4848,0.9843,0.8723,0.1725,0.1236,0.8219,0.9996,0.8546475206126651,0.6137211358042516,0.710091689727617
SimSiam-32-32,0.55,0.4792,0.3808,0.4901,0.9742,0.8393,0.1402,0.1505,0.7056,0.9993,0.7268671958027512,0.5003989402524108,0.5909862424725469
SimSiam-256-256,0.5429,0.6545,0.593,0.5382,0.9945,0.8734,0.174,0.1694,0.8608,0.9995,0.9308264363646004,0.7933511893600678,0.8483412881618808
SimSiam-64-12,0.5109,0.5096,0.3316,0.5028,0.9751,0.8315,0.0995,0.0559,0.6427,0.9996,0.5069722140499479,0.4723240179071104,0.4861832963642454
SimSiam-64-8,0.4078,0.3389,0.2735,0.4196,0.941,0.7849,0.0983,0.0373,0.3291,0.9997,0.2724691354295254,0.03059146102624366,0.12734253078755636
SimSiam-32-8,0.4801,0.3777,0.1981,0.4516,0.9456,0.7983,0.0532,0.1069,0.4448,0.9995,0.3615690371324214,0.15516174089438725,0.2377246593896009
SimSiam-256-128,0.5318,0.6514,0.6353,0.5137,0.9947,0.8655,0.1689,0.1383,0.8541,0.9995,0.8636358614766362,0.7667434858910148,0.8055004361252633
SimSiam-32-12,0.5013,0.4925,0.3799,0.4216,0.9733,0.8332,0.1592,0.1014,0.5614,0.9998,0.6322910402145048,0.36605363185263967,0.4725485951973857
