,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
BarlowTwins-32,0.4407,0.4591,0.3543,0.4924,0.9693,0.8023,0.1389,0.1399,0.5787,0.9933,0.5306,0.5432,0.5381
BarlowTwins-16,0.4331,0.3707,0.1954,0.4581,0.9535,0.7827,0.123,0.1269,0.4514,0.9848,0.4938,0.4822,0.4868
BarlowTwins-128,0.4694,0.5205,0.4103,0.5075,0.9787,0.8268,0.1181,0.119,0.7191,0.9915,0.5549,0.5773,0.5683
BarlowTwins-64,0.444,0.5208,0.4165,0.5034,0.9766,0.8222,0.1114,0.1454,0.6132,0.992,0.5368,0.5723,0.5581
BYOL-32,0.5237,0.5167,0.4091,0.4758,0.9768,0.8361,0.1693,0.1601,0.7502,0.9932,0.5817,0.5804,0.581
BYOL-16,0.5043,0.4357,0.2744,0.4639,0.9684,0.8124,0.1591,0.1536,0.6182,0.9961,0.5479,0.5293,0.5368
BYOL-128,0.5291,0.566,0.4486,0.5012,0.9868,0.847,0.1657,0.1934,0.8162,0.9962,0.6037,0.6064,0.6053
BYOL-64,0.5314,0.5434,0.4259,0.4879,0.9803,0.8435,0.1604,0.1525,0.7874,0.9963,0.588,0.5938,0.5915
SimSiam-128-128,0.5484,0.6086,0.4752,0.5247,0.9877,0.8689,0.1512,0.1116,0.8377,0.9994,0.5938,0.6289,0.6149
SimSiam-16-12,0.4943,0.4194,0.3078,0.4729,0.9633,0.8304,0.111,0.1275,0.5991,0.9996,0.5335,0.5316,0.5324
SimSiam-128-32,0.5116,0.5121,0.4141,0.488,0.9805,0.8372,0.1353,0.1227,0.7709,0.9997,0.5731,0.5813,0.578
SimSiam-128-64,0.5541,0.582,0.4538,0.4848,0.9843,0.8723,0.1725,0.1236,0.8219,0.9996,0.598,0.6118,0.6063
SimSiam-32-32,0.55,0.4792,0.3808,0.4901,0.9742,0.8393,0.1402,0.1505,0.7056,0.9993,0.567,0.5748,0.5717
SimSiam-256-256,0.5429,0.6545,0.593,0.5382,0.9945,0.8734,0.174,0.1694,0.8608,0.9995,0.6154,0.6646,0.6449
SimSiam-64-12,0.5109,0.5096,0.3316,0.5028,0.9751,0.8315,0.0995,0.0559,0.6427,0.9996,0.5258,0.566,0.5499
SimSiam-64-8,0.4078,0.3389,0.2735,0.4196,0.941,0.7849,0.0983,0.0373,0.3291,0.9997,0.4499,0.4762,0.4657
SimSiam-32-8,0.4801,0.3777,0.1981,0.4516,0.9456,0.7983,0.0532,0.1069,0.4448,0.9995,0.4805,0.4906,0.4866
SimSiam-256-128,0.5318,0.6514,0.6353,0.5137,0.9947,0.8655,0.1689,0.1383,0.8541,0.9995,0.6053,0.6654,0.6413
SimSiam-32-12,0.5013,0.4925,0.3799,0.4216,0.9733,0.8332,0.1592,0.1014,0.5614,0.9998,0.531,0.5537,0.5446
SimSiam-64-64,0.5166,0.5916,0.4319,0.5163,0.9881,0.8602,0.1566,0.1432,0.839,0.9996,0.5997,0.6089,0.6052
SimSiam-16-8,0.4691,0.39,0.2323,0.452,0.9594,0.8114,0.1253,0.1158,0.5122,0.9997,0.5129,0.5006,0.5055
SimSiam-64-32,0.5357,0.5479,0.4156,0.4959,0.9824,0.8516,0.1555,0.1234,0.7967,0.9993,0.5853,0.5955,0.5914
NNCLR-128-128,0.5337,0.5865,0.466,0.5089,0.9856,0.8531,0.1654,0.142,0.7909,0.9996,0.5902,0.6161,0.6058
NNCLR-16-12,0.5057,0.5172,0.3546,0.4984,0.9782,0.8278,0.111,0.1,0.7216,0.9995,0.5519,0.5708,0.5632
NNCLR-128-32,0.5614,0.554,0.4523,0.4884,0.9783,0.8534,0.1822,0.0999,0.7702,0.9994,0.581,0.6069,0.5965
NNCLR-128-64,0.5376,0.6087,0.5279,0.4962,0.9844,0.8657,0.1857,0.1269,0.78,0.9997,0.5916,0.631,0.6152
NNCLR-32-32,0.5252,0.5993,0.5099,0.5008,0.98,0.8737,0.1061,0.1154,0.7946,0.9995,0.5779,0.623,0.605
NNCLR-64-128,0.5377,0.5866,0.4465,0.4981,0.9847,0.8548,0.1416,0.1206,0.8042,0.9994,0.5841,0.6107,0.6001
NNCLR-256-256,0.5414,0.6389,0.5191,0.4972,0.9904,0.8458,0.1747,0.1518,0.7984,0.9996,0.5941,0.6374,0.6201
NNCLR-64-12,0.5154,0.5722,0.4812,0.496,0.9809,0.8467,0.1379,0.0974,0.7401,0.9996,0.5644,0.6091,0.5912
NNCLR-64-8,0.5085,0.5638,0.3706,0.4524,0.9811,0.812,0.143,0.1186,0.77,0.9996,0.5686,0.5753,0.5726
NNCLR-256-128,0.5293,0.6344,0.5029,0.5164,0.9918,0.8419,0.1706,0.1426,0.8267,0.9996,0.5963,0.635,0.6195
NNCLR-32-12,0.5149,0.5252,0.3196,0.4946,0.9785,0.8313,0.1364,0.1043,0.7194,0.9997,0.5582,0.5666,0.5632
NNCLR-64-64,0.5084,0.5966,0.5262,0.5134,0.9835,0.8638,0.152,0.143,0.8172,0.9994,0.5951,0.6256,0.6134
NNCLR-16-32,0.5232,0.4891,0.3066,0.4854,0.9737,0.8324,0.1126,0.1022,0.6898,0.9994,0.5473,0.5556,0.5522
NNCLR-16-8,0.504,0.462,0.3286,0.4663,0.9716,0.845,0.1418,0.096,0.6862,0.9995,0.5537,0.5465,0.5494
NNCLR-64-32,0.5343,0.6395,0.5669,0.5146,0.9867,0.8512,0.1505,0.0969,0.824,0.9996,0.5844,0.6484,0.6228
MoCo-32,0.5866,0.7302,0.5959,0.5667,0.9987,0.8447,0.0908,0.078,0.9159,0.9777,0.5814,0.6956,0.65
MoCo-16,0.5822,0.7095,0.5687,0.5602,0.9973,0.8577,0.1206,0.1215,0.9024,0.988,0.598,0.6836,0.6494
MoCo-128,0.5901,0.734,0.706,0.5716,0.9989,0.8506,0.0796,0.0827,0.9027,0.9545,0.574,0.7201,0.6617
MoCo-64,0.5878,0.7274,0.6387,0.5823,0.9992,0.8483,0.084,0.0841,0.9141,0.9631,0.5787,0.7071,0.6557
SimCLR-32,0.5476,0.6672,0.5856,0.5465,0.9957,0.8526,0.1227,0.052,0.8716,0.9994,0.5797,0.6685,0.633
SimCLR-16,0.5414,0.6543,0.5294,0.5308,0.9949,0.8549,0.1205,0.0818,0.8462,0.9994,0.5805,0.6502,0.6223
SimCLR-128,0.5712,0.6699,0.6321,0.5338,0.9965,0.8632,0.1506,0.0821,0.84,0.9994,0.5871,0.6807,0.6432
SimCLR-64,0.5619,0.6392,0.5556,0.5339,0.9955,0.8649,0.1432,0.0806,0.8545,0.9994,0.5885,0.6572,0.6298
VICReg-32,0.5208,0.6588,0.5259,0.5201,0.9819,0.8087,0.1669,0.1156,0.7622,0.9941,0.5695,0.6415,0.6127
VICReg-16,0.5343,0.6291,0.4846,0.526,0.9833,0.7985,0.1663,0.1115,0.7096,0.993,0.5558,0.6315,0.6012
VICReg-128,0.5321,0.6412,0.5562,0.5189,0.983,0.8352,0.1496,0.0759,0.7988,0.9949,0.5709,0.6463,0.6161
VICReg-64,0.5225,0.6669,0.5619,0.5356,0.9855,0.8175,0.1397,0.1019,0.7852,0.9954,0.5679,0.6545,0.6199
