,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
SimSiam-gauss-0.6,0.4609,0.441,0.2313,0.455,0.9692,0.7243,0.0576,0.0556,0.5393,0.9992,0.31227133045546934,0.2465422112483678,0.27283385893120843
SimSiam-gauss-0.9,0.4362,0.4141,0.2401,0.4361,0.9587,0.7638,0.0786,0.0662,0.5412,0.9995,0.38951489865757116,0.11630481993274071,0.22558885142267288
SimSiam-gauss-1,0.4972,0.5569,0.3535,0.4894,0.9861,0.7461,0.0559,0.0576,0.7069,0.9993,0.40584833124823766,0.5551021576218453,0.4954006270724023
SimSiam-gauss-0.7,0.4128,0.3596,0.1431,0.4428,0.9532,0.7344,0.0232,0.0543,0.3911,0.9996,0.2363905838045161,0.01610576923076934,0.10421969506026806
SimSiam-gauss-0.8,0.4518,0.5143,0.3025,0.4723,0.9835,0.7025,0.0653,0.0525,0.6442,0.9992,0.3342711606983061,0.4131491754929753,0.3815979695751076
SimSiam-gauss-0.5,0.4599,0.4181,0.2146,0.4585,0.9595,0.7304,0.0251,0.0632,0.463,0.9995,0.272821313606771,0.1901492449273443,0.22321807239911498
MoCo-gauss-0.6,0.5919,0.6579,0.5946,0.5121,0.9854,0.8785,0.2254,0.167,0.8637,0.9812,0.6934290223278732,0.8498698505364578,0.7872935192530239
MoCo-gauss-0.9,0.6126,0.7066,0.6603,0.5173,0.9924,0.8818,0.2173,0.1544,0.8813,0.9866,0.7404069920921753,0.9677041666121753,0.8767852968041754
MoCo-gauss-1,0.6085,0.7124,0.6609,0.5193,0.9941,0.8749,0.2089,0.1638,0.8832,0.9849,0.7197591241766014,0.9797212606608372,0.8757364060671429
MoCo-gauss-0.7,0.5968,0.6832,0.65,0.5128,0.9893,0.8766,0.2215,0.1677,0.8749,0.9845,0.729365655268851,0.9096825599371977,0.837555798069859
MoCo-gauss-0.8,0.6102,0.7015,0.6562,0.5157,0.9911,0.8837,0.2249,0.1659,0.878,0.9866,0.7617267922878783,0.9510475323537424,0.8753192363273968
MoCo-gauss-0.5,0.5863,0.6153,0.565,0.5046,0.9778,0.8892,0.2587,0.2148,0.8492,0.988,0.8600947138704577,0.7560069837548994,0.7976420758011227
SimCLR-gauss-0.6,0.5951,0.7004,0.669,0.482,0.9957,0.877,0.2121,0.1429,0.8718,0.9995,0.8530340169761839,0.8802504586104657,0.8693638819567531
SimCLR-gauss-0.9,0.5886,0.709,0.6709,0.4795,0.9965,0.8727,0.2041,0.1318,0.8652,0.9995,0.8252728864621643,0.8769993146221857,0.8563087433581772
SimCLR-gauss-1,0.5892,0.698,0.6023,0.4847,0.9968,0.8716,0.202,0.1325,0.8692,0.9996,0.8258863284459352,0.859245539387165,0.845901855010673
SimCLR-gauss-0.7,0.5962,0.698,0.6352,0.4809,0.9962,0.8784,0.2076,0.1374,0.8707,0.9995,0.8434874571141542,0.8668324809329014,0.8574944714054026
SimCLR-gauss-0.8,0.5928,0.6924,0.6055,0.4801,0.9967,0.874,0.2048,0.1408,0.8719,0.9996,0.8421605280654207,0.8493707124350687,0.8464866386872094
SimCLR-gauss-0.5,0.5937,0.6981,0.6484,0.4827,0.9954,0.8834,0.2172,0.1588,0.8681,0.9995,0.8823107320109296,0.8700457607361507,0.8749517492460622
