,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
SimSiam-innerswap-0.5,0.4574,0.3295,0.1264,0.3958,0.9446,0.7006,0.0271,0.0615,0.3461,0.9996,0.24568277246162423,0.4624131606586911,0.37572100537986436
SimSiam-innerswap-0.2,0.4056,0.3118,0.11,0.4175,0.9284,0.6948,0.0078,0.0331,0.2862,0.9995,0.1882352941176464,0.3773907396744481,0.30172856145172744
SimSiam-innerswap-0.1,0.43,0.2985,0.0898,0.4132,0.9409,0.7383,0.0295,0.0561,0.3061,0.9995,0.2527404343447127,0.3999862987262618,0.34108795297364214
SimSiam-innerswap-0.3,0.4308,0.3839,0.1589,0.4314,0.9601,0.7338,0.0348,0.0714,0.4145,0.9996,0.30899843962885887,0.6128524034650292,0.4913108179305611
SimSiam-innerswap-0.4,0.4088,0.3251,0.1652,0.434,0.9493,0.7292,0.0276,0.0644,0.335,0.9996,0.2656903703096522,0.5266910478890255,0.4222907768572762
MoCo-innerswap-0.5,0.5073,0.1441,0.1121,0.4636,0.8736,0.9394,0.3823,0.4963,0.3707,0.9965,0.636862535693272,0.373900622956407,0.4790853880511531
MoCo-innerswap-0.2,0.506,0.1202,0.0654,0.4625,0.8706,0.9404,0.3855,0.4971,0.3676,0.9966,0.644300014611541,0.3021588028998094,0.43901528758450203
MoCo-innerswap-0.1,0.5067,0.1167,0.0752,0.4593,0.8709,0.9423,0.3861,0.5067,0.3589,0.9974,0.6936490209039257,0.3028568556813164,0.4591737217703601
MoCo-innerswap-0.3,0.5092,0.1378,0.0798,0.4632,0.8776,0.94,0.3797,0.5093,0.3843,0.9963,0.635286672478937,0.3501187297124343,0.4641859068190354
MoCo-innerswap-0.4,0.5069,0.1368,0.092,0.4638,0.8734,0.9396,0.3825,0.4898,0.3726,0.9964,0.6293025514855793,0.3494478832518701,0.4613897505453538
SimCLR-innerswap-0.5,0.5536,0.3548,0.2704,0.4835,0.9321,0.9346,0.3432,0.3889,0.7666,0.9996,0.9131194140138691,0.9156487304720169,0.9146370038887577
SimCLR-innerswap-0.2,0.5471,0.2884,0.1731,0.4759,0.9169,0.9344,0.3544,0.3988,0.7518,0.9996,0.9169225020682376,0.716518028728389,0.7966798180643284
SimCLR-innerswap-0.1,0.5331,0.1761,0.0526,0.47,0.8852,0.9379,0.3673,0.4319,0.7144,0.9997,0.9309034909166012,0.4185973003755512,0.6235197765919712
SimCLR-innerswap-0.3,0.5465,0.3439,0.2557,0.4818,0.9294,0.933,0.3446,0.3901,0.7565,0.9996,0.908897936365968,0.874486458192448,0.8882510494618561
SimCLR-innerswap-0.4,0.5458,0.3394,0.2346,0.4812,0.9286,0.9329,0.3431,0.386,0.7703,0.9996,0.9120034426969046,0.8476406643289872,0.8733857756761543
