,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
BarlowTwins-32,0.5103,0.5833,0.4257,0.5231,0.9533,0.8421,0.3886,0.3011,0.7063,0.9962,0.5500379373001618,0.3376954025311853,0.4226324164387759
BarlowTwins-16,0.474,0.5197,0.326,0.4909,0.9352,0.8235,0.4801,0.3204,0.5832,0.997,0.49959540869647706,0.14976966417937046,0.2896999619862131
BarlowTwins-128,0.5567,0.6381,0.5357,0.5492,0.9713,0.8727,0.4753,0.3411,0.7813,0.9983,0.7219857246454142,0.5291431358344738,0.6062801713588499
BarlowTwins-64,0.5134,0.5888,0.4575,0.513,0.9575,0.8651,0.4277,0.3131,0.7547,0.9972,0.6479197607579498,0.3575662379247714,0.47370764705804275
BYOL-32,0.5168,0.5569,0.396,0.5074,0.9499,0.8591,0.5281,0.3562,0.743,0.9984,0.7080213759985263,0.29442113059524694,0.4598612287565587
BYOL-16,0.4949,0.492,0.3282,0.5072,0.9363,0.8676,0.3926,0.2933,0.6642,0.9975,0.5722910786846306,0.17431659748852088,0.33350638996696474
BYOL-128,0.5458,0.609,0.5069,0.5319,0.9771,0.8901,0.5255,0.3961,0.8235,0.9992,0.8391727492448398,0.48789563469656905,0.6284064805158773
BYOL-64,0.5431,0.6243,0.519,0.5369,0.9814,0.8857,0.4376,0.3543,0.8066,0.9986,0.7547876959279939,0.5139047599344888,0.6102579343318908
SimSiam-128-128,0.5557,0.6393,0.4717,0.4983,0.9616,0.8836,0.3444,0.3548,0.8271,0.9998,0.7360167300619994,0.43173437505872087,0.5534473170600323
SimSiam-16-12,0.507,0.5674,0.4182,0.5028,0.941,0.8409,0.3916,0.2884,0.681,1.0,0.5530902399161606,0.2730554353530036,0.3850693571782664
SimSiam-128-32,0.5117,0.6083,0.5187,0.533,0.9643,0.8725,0.4595,0.4049,0.8135,0.9999,0.7890425629792105,0.42680449536380916,0.5716997224099697
SimSiam-128-64,0.5431,0.645,0.5445,0.5316,0.9685,0.8999,0.4508,0.2877,0.8374,0.9999,0.7671626382130753,0.4992600928619229,0.6064211110023838
SimSiam-32-32,0.5296,0.6053,0.4498,0.5144,0.9704,0.8971,0.5208,0.3159,0.7649,1.0,0.7657334561020563,0.41349128383014533,0.5543881527389097
SimSiam-256-256,0.5707,0.6973,0.6026,0.542,0.9953,0.9067,0.4941,0.4242,0.868,0.9999,0.9048532413060164,0.6561172063345219,0.7556116203231197
SimSiam-64-12,0.5173,0.5528,0.4168,0.5122,0.9366,0.8672,0.2624,0.2888,0.7199,1.0,0.5691762401636654,0.27277235360421626,0.39133390822799596
SimSiam-64-8,0.5138,0.5196,0.3494,0.4757,0.948,0.843,0.5318,0.2432,0.6685,0.9999,0.573524616178725,0.2171208282088169,0.3596823433967801
SimSiam-32-8,0.4915,0.5065,0.3768,0.434,0.9252,0.8919,0.2537,0.3106,0.6749,0.9999,0.5928578336714042,0.10269286556151398,0.2987588528054701
SimSiam-256-128,0.588,0.7,0.5792,0.5691,0.9884,0.8854,0.4958,0.4494,0.8687,0.9998,0.8869610261308646,0.6745266672456269,0.7595004107997221
SimSiam-32-12,0.5114,0.4605,0.2715,0.5346,0.9185,0.7938,0.2149,0.1892,0.6958,0.9999,0.3480609740050903,0.13265695497426533,0.21881856258659532
SimSiam-64-64,0.5373,0.614,0.5201,0.513,0.9544,0.8939,0.5724,0.4463,0.8361,0.9999,0.9100885413681169,0.41387616283844136,0.6123611142503116
SimSiam-16-8,0.5025,0.5095,0.298,0.4762,0.9412,0.8512,0.3388,0.276,0.6549,0.9999,0.5243699898714758,0.16300085796910246,0.3075485107300518
