,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
BarlowTwins-32,0.5103,0.5833,0.4257,0.5231,0.9533,0.8421,0.3886,0.3011,0.7063,0.9962,0.6468,0.5991,0.6182
BarlowTwins-16,0.474,0.5197,0.326,0.4909,0.9352,0.8235,0.4801,0.3204,0.5832,0.997,0.6408,0.5492,0.5858
BarlowTwins-128,0.5567,0.6381,0.5357,0.5492,0.9713,0.8727,0.4753,0.3411,0.7813,0.9983,0.6937,0.6502,0.6676
BarlowTwins-64,0.5134,0.5888,0.4575,0.513,0.9575,0.8651,0.4277,0.3131,0.7547,0.9972,0.6716,0.606,0.6322
BYOL-32,0.5168,0.5569,0.396,0.5074,0.9499,0.8591,0.5281,0.3562,0.743,0.9984,0.697,0.5854,0.63
BYOL-16,0.4949,0.492,0.3282,0.5072,0.9363,0.8676,0.3926,0.2933,0.6642,0.9975,0.643,0.5517,0.5883
BYOL-128,0.5458,0.609,0.5069,0.5319,0.9771,0.8901,0.5255,0.3961,0.8235,0.9992,0.7268,0.6341,0.6712
BYOL-64,0.5431,0.6243,0.519,0.5369,0.9814,0.8857,0.4376,0.3543,0.8066,0.9986,0.6965,0.6409,0.6632
SimSiam-128-128,0.5557,0.6393,0.4717,0.4983,0.9616,0.8836,0.3444,0.3548,0.8271,0.9998,0.6819,0.6253,0.648
SimSiam-16-12,0.507,0.5674,0.4182,0.5028,0.941,0.8409,0.3916,0.2884,0.681,1.0,0.6404,0.5873,0.6085
SimSiam-128-32,0.5117,0.6083,0.5187,0.533,0.9643,0.8725,0.4595,0.4049,0.8135,0.9999,0.7101,0.6272,0.6603
SimSiam-128-64,0.5431,0.645,0.5445,0.5316,0.9685,0.8999,0.4508,0.2877,0.8374,0.9999,0.6951,0.6466,0.666
SimSiam-32-32,0.5296,0.6053,0.4498,0.5144,0.9704,0.8971,0.5208,0.3159,0.7649,1.0,0.6997,0.6139,0.6482
SimSiam-256-256,0.5707,0.6973,0.6026,0.542,0.9953,0.9067,0.4941,0.4242,0.868,0.9999,0.7386,0.6815,0.7044
SimSiam-64-12,0.5173,0.5528,0.4168,0.5122,0.9366,0.8672,0.2624,0.2888,0.7199,1.0,0.6276,0.5871,0.6033
SimSiam-64-8,0.5138,0.5196,0.3494,0.4757,0.948,0.843,0.5318,0.2432,0.6685,0.9999,0.6573,0.5613,0.5997
SimSiam-32-8,0.4915,0.5065,0.3768,0.434,0.9252,0.8919,0.2537,0.3106,0.6749,0.9999,0.6262,0.5468,0.5786
